,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
0,파킹클라우드,부산 동트레아파트,1,AC완속,부산광역시,수영구,부산광역시 수영구 무학로9번길 15-1(동트레 아파트),거주자외 출입제한,무학로9번길 15-1(동트레 아파트)
1,파킹클라우드,부산 동트레아파트,2,AC완속,부산광역시,수영구,부산광역시 수영구 무학로9번길 15-1(동트레 아파트),거주자외 출입제한,무학로9번길 15-1(동트레 아파트)
2,제주전기자동차서비스,경보이리스오션더스타2차B1,1,DC차데모+AC3상+DC콤보,부산광역시,중구,부산광역시 중구 대교로 133경보이리스오션더스타2차 B1,시설 상황에 따라 이용이 제한될 수 있음,교로 133경보이리스오션더스타2차 B1
3,제주전기자동차서비스,금정산SKTVIEW 아파트 101동 A주차장 62번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64101동 A주차장 62번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64101동 A주차장 62번 기둥(713 금정산에스케이뷰아파트)
4,제주전기자동차서비스,금정산SKTVIEW 아파트 102동 A주차장 29번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64102동 A주차장 29번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64102동 A주차장 29번 기둥(713 금정산에스케이뷰아파트)
5,제주전기자동차서비스,금정산SKTVIEW 아파트 103동 A주차장 04번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64103동 A주차장 04번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64103동 A주차장 04번 기둥(713 금정산에스케이뷰아파트)
6,제주전기자동차서비스,금정산SKTVIEW 아파트 104동 D주차장 58번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64104동 D주차장 58번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64104동 D주차장 58번 기둥(713 금정산에스케이뷰아파트)
7,제주전기자동차서비스,금정산SKTVIEW 아파트 106동 D주차장 20번 기둥 A,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64106동 D주차장 20번 기둥 A(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64106동 D주차장 20번 기둥 A(713 금정산에스케이뷰아파트)
8,제주전기자동차서비스,금정산SKTVIEW 아파트 106동 D주차장 20번 기둥 B,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64106동 D주차장 20번 기둥 B(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64106동 D주차장 20번 기둥 B(713 금정산에스케이뷰아파트)
9,제주전기자동차서비스,금정산SKTVIEW 아파트 107동 E주차장 43번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64107동 E주차장 43번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64107동 E주차장 43번 기둥(713 금정산에스케이뷰아파트)
10,제주전기자동차서비스,금정산SKTVIEW 아파트 108동 E주차장 18번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64108동 E주차장 18번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64108동 E주차장 18번 기둥(713 금정산에스케이뷰아파트)
11,제주전기자동차서비스,금정산SKTVIEW 아파트 109동 G주차장 30번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64109동 G주차장 30번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64109동 G주차장 30번 기둥(713 금정산에스케이뷰아파트)
12,제주전기자동차서비스,금정산SKTVIEW 아파트 110동 G주차장 01번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64110동 G주차장 01번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64110동 G주차장 01번 기둥(713 금정산에스케이뷰아파트)
13,제주전기자동차서비스,금정산SKTVIEW 아파트 111동 H주차장 62번 기둥 A,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64111동 H주차장 62번 기둥 A(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64111동 H주차장 62번 기둥 A(713 금정산에스케이뷰아파트)
14,제주전기자동차서비스,금정산SKTVIEW 아파트 111동 H주차장 62번 기둥 B,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64111동 H주차장 62번 기둥 B(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64111동 H주차장 62번 기둥 B(713 금정산에스케이뷰아파트)
15,제주전기자동차서비스,금정산SKTVIEW 아파트 113동 H주차장 03번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64113동 H주차장 03번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64113동 H주차장 03번 기둥(713 금정산에스케이뷰아파트)
16,제주전기자동차서비스,금정산SKTVIEW 아파트 114동 H주차장 37번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64114동 H주차장 37번 기둥(713 금정산에스케이뷰아파트),거주자외 출입제한,식물원로 64114동 H주차장 37번 기둥(713 금정산에스케이뷰아파트)
