사업구분,상호,주소,영업소소재지(지번)
주유소,굿오일주유소,부산광역시 남구 북항로 108 (감만동),부산광역시 남구 감만동  254 번지98 호 
주유소,(주)좋은기름나라 북항대교주유소,부산광역시 남구 신선로 316 (용당동),부산광역시 남구 용당동  149 번지1 호 
주유소,내트럭(주)부산용당사업소,부산광역시 남구 신선로 261 (용당동),부산광역시 남구 용당동  168 번지1 호 
주유소,내트럭(주)부산사업소,부산광역시 남구 신선로 168 (감만동),부산광역시 남구 감만동  498 번지17 호외77필지 
주유소,금융단지주유소,부산광역시 남구 전포대로 75 (문현동),"부산광역시 남구 문현동  774 번지2 호외4필지(774-1,774-10,774-40,774-41) "
주유소,주식회사 대호석유 용당씨와이주유소,부산광역시 남구 신선로 392 (용당동),부산광역시 남구 용당동  460 번지2 호 
주유소,씨제이대한통운(주)직영용당터미널주유소,부산광역시 남구 신선로 252 (용당동),부산광역시 남구 용당동  206 번지27 호 
주유소,지에스칼텍스(주)비치주유소,"부산광역시 남구 용호로 60 (용호동,외 1필지(209-1))",부산광역시 남구 용호동  207 번지외 1필지(209-1) 
주유소,성지주유소,부산광역시 남구 유엔로 42 (우암동),부산광역시 남구 우암동  100 번지2 호 
주유소,문현주유소,부산광역시 남구 우암로 374 (문현동),부산광역시 남구 문현동  888 번지1 호 
주유소,금강석유(주)영웅주유소,부산광역시 남구 황령대로 346 (대연동),"부산광역시 남구 대연동  224 번지9 호외3필지(224-10, 225, 226-2) "
주유소,은마석유 주식회사,부산광역시 남구 신선로 351 (용당동),부산광역시 남구 용당동  406 번지16 호 
주유소,(주)문화주유소,부산광역시 남구 유엔로 155 (대연동),"부산광역시 남구 대연동  881-2 번지외2필지(881-14, 881-15) "
주유소,부경에너지(주)사랑드림주유소,부산광역시 남구 황령대로 343 (대연동),부산광역시 남구 대연동  231 번지 
주유소,대일주유소,부산광역시 남구 황령대로 401-2 (대연동),부산광역시 남구 대연동  198 번지 
주유소,광신리소스(주)광안대교주유소,부산광역시 남구 유엔로 202 (대연동),부산광역시 남구 대연동  568 번지9 호 
주유소,팔성셀프주유소,부산광역시 남구 유엔로 138 (대연동),부산광역시 남구 대연동  1013-1 번지외1필지(1020-3) 
주유소,반도주유소,부산광역시 남구 신선로 442 (용당동),"부산광역시 남구 용당동  539-1 번지외 6필지(543-3,544-3,544-4,534-1,534-3,534-10) "
주유소,(주)경인석유,부산광역시 남구 신선로 448 (용당동),부산광역시 남구 용당동  544 번지 
주유소,구도일주유소 용호,부산광역시 남구 용호로 172 (용호동),부산광역시 남구 용호동  487-45 번지외 1필지(487-46) 
주유소,대성주유소,"부산광역시 남구 문현로 67 (문현동,외 1필지(101-8))",부산광역시 남구 문현동  101 번지7 호외 1필지(101-8) 
주유소,분포셀프주유소,부산광역시 남구 용호로 116 (용호동),부산광역시 남구 용호동  369 번지25 호 
주유소,인터지스(주),"부산광역시 남구 신선로 173 (감만동,외 1필지(254-76))",부산광역시 남구 감만동  254 번지54 호외 1필지(254-76) 
주유소,현대오일뱅크(주)직영부경셀프주유소,부산광역시 남구 유엔로 235 (대연동),부산광역시 남구 대연동  574 번지2 호 
주유소,와이케이에너지(주),부산광역시 남구 신선로 387 (용당동),부산광역시 남구 용당동  454 번지20 호 
주유소,에스씨(주)우암주유소,부산광역시 남구 우암로 204 (우암동),부산광역시 남구 우암동  164 번지8 호 
주유소,지에스칼텍스(주)대연주유소,부산광역시 남구 수영로 288 (대연동),부산광역시 남구 대연동  74 번지17 호 
주유소,은마석유(주)우암로셀프주유소,부산광역시 남구 우암로 232 (우암동),부산광역시 남구 우암동  184 번지348 호 
주유소,삼화주유소,부산광역시 남구 우암로 92 (감만동),부산광역시 남구 감만동  82 번지2 호 
주유소,동명주유소,부산광역시 남구 전포대로 7 (문현동),부산광역시 남구 문현동  807 번지4 호 
주유소,(주)신선에너지 유엔주유소,"부산광역시 남구 석포로 134 (대연동,외 2필지(949-12,949-18))","부산광역시 남구 대연동  949 번지4 호외 2필지(949-12,949-18) "
주유소,매일주유소,부산광역시 남구 수영로 22 (문현동),부산광역시 남구 문현동  367 번지14 호 
