연번,상호,주소,전화번호
1,지에스칼텍스㈜ 구포셀프주유소,부산광역시 북구 사상로 619,051-338-5189
2,부경에너지㈜ 만복드림주유소,부산광역시 북구 만덕대로 170,051-332-4423
3,무지개주유소,부산광역시 북구 금곡대로 692,051-335-4330
4,북부산새마을금고주유소,부산광역시 북구 금곡대로 37,051-341-0151
5,sk에너지㈜ 두꺼비주유소,부산광역시 북구 금곡대로 362,051-362-5555
6,세일석유㈜ 금곡주유소,부산광역시 북구 금곡대로 604,051-334-7771
7,㈜ 삼보주유소,부산광역시 북구 만덕대로 327,051-336-2000
8,sk에너지㈜ 신광주유소,부산광역시 북구 덕천로 275,051-336-9911
9,광신석유㈜ 백양대로주유소,부산광역시 북구 백양대로 995,051-337-3100
10,경덕주유소,부산광역시 북구 시랑로 58,051-343-2121
11,sk에너지 직영 삼진주유소,부산광역시 북구 의성로53번길 5,051-342-3516
12,동양가스산업㈜ 명품주유소,부산광역시 북구 금곡대로 113,051-333-2920
13,광신석유㈜ 덕천주유소,부산광역시 북구 의성로 20,051-343-5232
14,지에스칼텍스㈜ 라인주유소,부산광역시 북구 덕천로 179,051-338-5145
15,성도주유소,부산광역시 북구 낙동대로 1642,051-333-3351
16,㈜ 삼보부림Self 주유소,부산광역시 북구 만덕대로 343,051-338-5156
17,은마석유㈜ 금곡대로주유소,부산광역시 북구 금곡대로 712,051-333-9288
18,화명신도시주유소,부산광역시 북구 금곡대로 203,051-365-0711
