연번,상호명,주소,데이터기준일자
1,에스씨㈜ 감천주유소,부산광역시 사하구 감천로 79(감천동),2022-04-22
2,장림주유소,부산광역시 사하구 장림로 287(장림동),2022-04-22
3,동광에너콤 신평주유소,부산광역시 사하구 하신중앙로 166(신평동),2022-04-22
4,대양석유㈜SK괴정주유소,부산광역시 사하구 사하로 129(괴정동),2022-04-22
5,SK에너지㈜ 국영셀프주유소,부산광역시 사하구 장림번영로 7(장림동),2022-04-22
6,현대오일뱅크㈜직영 괴정제일셀프주유소,부산광역시 사하구 낙동대로 169(괴정동),2022-04-22
7,장림대흥주유소,부산광역시 사하구 다대로 292(장림동),2022-04-22
8,선경주유소,부산광역시 사하구 을숙도대로 730(구평동),2022-04-22
9,광신석유㈜ 다대로주유소,부산광역시 사하구 을숙도대로 712(장림동),2022-04-22
10,주식회사한국오일뱅주유소,부산광역시 사하구 다대로 280(장림동),2022-04-22
11,퍼시픽에너지㈜주유소,부산광역시 사하구 다대로 575(다대동),2022-04-22
12,토성주유소,부산광역시 사하구 다대로 581(다대동),2022-04-22
13,극동유화㈜ 부산주유소,부산광역시 사하구 하신중앙로 165(신평동),2022-04-22
14,오케이주유소,부산광역시 사하구 사하로 150(괴정동),2022-04-22
15,남성주유소,부산광역시 사하구 하신중앙로 240(하단동),2022-04-22
16,광신홀딩스㈜ 을숙도대로주유소,부산광역시 사하구 을숙도대로 530(신평동),2022-04-22
17,지에스칼텍스㈜다대주유소,부산광역시 사하구 다대로 377(장림동),2022-04-22
18,㈜천일에너지 대진주유소,부산광역시 사하구 낙동대로 339(괴정동),2022-04-22
19,대경주유소,부산광역시 사하구 감천항로 64(구평동),2022-04-22
20,대창제1주유소,부산광역시 사하구 을숙도대로 821(구평동),2022-04-22
21,씨제이대한통운㈜ 직영 장평주유소,부산광역시 사하구 을숙도대로 583(신평동),2022-04-22
22,새마당주유소,부산광역시 사하구 장평로 152(장림동),2022-04-22
23,광신석유㈜ 구평주유소,부산광역시 사하구 서포로 61(구평동),2022-04-22
24,대호주유소,부산광역시 사하구 하신중앙로 55(신평동),2022-04-22
25,지에스칼텍스㈜동아주유소,부산광역시 사하구 낙동대로 112(괴정동),2022-04-22
26,호승주유소,부산광역시 사하구 감천항로 20(감천동),2022-04-22
27,조은주유소,부산광역시 사하구 낙동대로 312(괴정동),2022-04-22
28,은마석유㈜ 송림주유소,부산광역시 사하구 장평로 177(장림동),2022-04-22
29,SE주유소,부산광역시 사하구 감천항로 227(구평동),2022-04-22
30,㈜인성티티 사하주유소,부산광역시 사하구 을숙도대로 583(신평동),2022-04-22
31,동원주유소㈜,부산광역시 사하구 감천항로 445(구평동),2022-04-22
32,부영석유 도매주유소,부산광역시 사하구 을숙도대로 564(신평동),2022-04-22
,,,
,,,
